distance year jd planet number
2.739298000000000011e-01 2.210065999999999804e+03 2.528269654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.770251000000000241e-01 2.210068999999999960e+03 2.528270654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.802978999999999887e-01 2.210072000000000116e+03 2.528271654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.837418999999999913e-01 2.210074000000000069e+03 2.528272654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.873511000000000259e-01 2.210077000000000226e+03 2.528273654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.911190000000000166e-01 2.210079999999999927e+03 2.528274654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.950396000000000130e-01 2.210083000000000084e+03 2.528275654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.991068000000000060e-01 2.210085000000000036e+03 2.528276654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
3.033145999999999898e-01 2.210088000000000193e+03 2.528277654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
3.076571000000000167e-01 2.210090999999999894e+03 2.528278654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
3.121284999999999754e-01 2.210094000000000051e+03 2.528279654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
3.167234999999999912e-01 2.210096000000000004e+03 2.528280654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
3.214365000000000139e-01 2.210099000000000160e+03 2.528281654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
3.199394999999999878e-01 2.316675999999999931e+03 2.567207974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
3.139505000000000212e-01 2.316679000000000087e+03 2.567208974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
3.080372000000000110e-01 2.316681999999999789e+03 2.567209974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
3.022039999999999726e-01 2.316684000000000196e+03 2.567210974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.964558999999999944e-01 2.316686999999999898e+03 2.567211974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.907980000000000009e-01 2.316690000000000055e+03 2.567212974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.852355999999999780e-01 2.316693000000000211e+03 2.567213974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.797745999999999844e-01 2.316695000000000164e+03 2.567214974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.744211999999999763e-01 2.316697999999999865e+03 2.567215974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.691818000000000266e-01 2.316701000000000022e+03 2.567216974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.640634000000000037e-01 2.316702999999999975e+03 2.567217974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.590732000000000035e-01 2.316706000000000131e+03 2.567218974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.542188000000000225e-01 2.316708999999999833e+03 2.567219974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.495082999999999884e-01 2.316711999999999989e+03 2.567220974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.449501000000000039e-01 2.316713999999999942e+03 2.567221974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.405529999999999891e-01 2.316717000000000098e+03 2.567222974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.363260000000000083e-01 2.316719999999999800e+03 2.567223974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.322786000000000017e-01 2.316722999999999956e+03 2.567224974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.284202999999999928e-01 2.316724999999999909e+03 2.567225974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.247609999999999886e-01 2.316728000000000065e+03 2.567226974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.213106999999999991e-01 2.316731000000000222e+03 2.567227974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.180794000000000066e-01 2.316733999999999924e+03 2.567228974899999797e+06 5.000000000000000000e+00 1.000000000000000000e+00
