X Y Z velX velY velZ r year
-7.497855569654097163e-01 7.789645577807614574e-01 -1.008188491430989542e+00 -2.799024914112286516e-03 1.817332114327580364e-02 3.209267715300271186e-04 1.478312618483114127e+00 2.822085000000000036e+03
-7.855320272062960019e-01 6.821882416517585090e-01 -1.083009344087972892e+00 -2.815377065876451847e-03 1.817051692454092413e-02 3.209010116022297660e-04 1.501782474993170524e+00 2.822184999999999945e+03
-8.188656031544414571e-01 5.788548075793478187e-01 -1.155387392663846713e+00 -2.831718542488355014e-03 1.816763991551604771e-02 3.208731562888898726e-04 1.529880319310557457e+00 2.822284999999999854e+03
-8.496568299972430127e-01 4.685634051468930417e-01 -1.225200747524457290e+00 -2.848047184253143811e-03 1.816468054619550451e-02 3.208428710087643564e-04 1.562877239305219490e+00 2.822385000000000218e+03
-8.777472945710133034e-01 3.508482472943977304e-01 -1.292281190123451884e+00 -2.864357828896585585e-03 1.816159881438232995e-02 3.208079775189071753e-04 1.601101333489910239e+00 2.822485000000000127e+03
-9.029121390340200115e-01 2.251823287127427131e-01 -1.356399835614697569e+00 -2.880663026481361695e-03 1.815848559157259845e-02 3.207714431930753607e-04 1.644924899816116781e+00 2.822585000000000036e+03
-9.248745598622182262e-01 9.099732849709568638e-02 -1.417254525969296353e+00 -2.896968574333212698e-03 1.815538641440561304e-02 3.207354475006872745e-04 1.694781359542992805e+00 2.822684999999999945e+03
-9.433036946958968105e-01 -5.234013300952306685e-02 -1.474466095329053372e+00 -2.913276961917507252e-03 1.815231822207691303e-02 3.207010814954612088e-04 1.751174353462638278e+00 2.822786000000000058e+03
-9.578021616731844379e-01 -2.055033087865102137e-01 -1.527552741853301921e+00 -2.929583985703386462e-03 1.814926258887071889e-02 3.206680494075177094e-04 1.814671862891902965e+00 2.822885999999999967e+03
-9.679218735110686200e-01 -3.692555934279901919e-01 -1.575933822511365934e+00 -2.945868223276947202e-03 1.814606992903826030e-02 3.206300854881159062e-04 1.885945349005193172e+00 2.822985999999999876e+03
-9.731001568030684945e-01 -5.444315287277289306e-01 -1.618897280459600463e+00 -2.962128938629105500e-03 1.814272950419082084e-02 3.205865594097132508e-04 1.965746171132595421e+00 2.823085999999999785e+03
-9.726648395715935536e-01 -7.319152690701064001e-01 -1.655570455625823501e+00 -2.978364972308715150e-03 1.813922882142286058e-02 3.205367815898014063e-04 2.054918583491301298e+00 2.823186000000000149e+03
-9.657933109535444816e-01 -9.326325043277543525e-01 -1.684895284291036521e+00 -2.994594209864510480e-03 1.813567630395191560e-02 3.204857778354527507e-04 2.154398344465906945e+00 2.823286000000000058e+03
-9.515172553324575677e-01 -1.147445794551731568e+00 -1.705574362827144252e+00 -3.010835425404046091e-03 1.813220849653829694e-02 3.204387741684229822e-04 2.265171261905617239e+00 2.823385999999999967e+03
-9.287386059726850940e-01 -1.377216573016647461e+00 -1.716066695978914369e+00 -3.027081626616964088e-03 1.812878255281398510e-02 3.203939859271160784e-04 2.388339547104597393e+00 2.823485999999999876e+03
-8.961758589305067746e-01 -1.622703810471933572e+00 -1.714535573217410569e+00 -3.043333861594571359e-03 1.812541243793715576e-02 3.203514802880997876e-04 2.525060604911873785e+00 2.823585999999999785e+03
-8.523783789875555295e-01 -1.884551136899045076e+00 -1.698816019473472050e+00 -3.059568249545211675e-03 1.812194429430476900e-02 3.203048424548390590e-04 2.676575752070661895e+00 2.823686000000000149e+03
-7.956460970931398258e-01 -2.163183914650038453e+00 -1.666373012025574418e+00 -3.075785831038672057e-03 1.811836866243680955e-02 3.202552356187752798e-04 2.844154773500801703e+00 2.823786000000000058e+03
-7.240735498699519823e-01 -2.458524836789093726e+00 -1.614258125318317694e+00 -3.092000436931096469e-03 1.811477779035976232e-02 3.202059330352266097e-04 3.028936475709968157e+00 2.823885999999999967e+03
-6.355736323006394572e-01 -2.769911575733383202e+00 -1.539116803898845198e+00 -3.108214814909479942e-03 1.811118563283037677e-02 3.201580988355655659e-04 3.231910350783483654e+00 2.823985999999999876e+03
-5.279458857229303304e-01 -3.095713170257553326e+00 -1.437223548981544141e+00 -3.124444549819433998e-03 1.810770317620169143e-02 3.201144720352740191e-04 3.453661596118668076e+00 2.824085999999999785e+03
-3.989847040264311029e-01 -3.433190274046151735e+00 -1.304558454419193714e+00 -3.140661319523510402e-03 1.810415912363258842e-02 3.200678155674923351e-04 3.694300612138750495e+00 2.824186000000000149e+03
-2.465533640387765069e-01 -3.778097388325736272e+00 -1.136966015218025650e+00 -3.156856235212671807e-03 1.810048770747701985e-02 3.200170499238816206e-04 3.953163310154709897e+00 2.824286000000000058e+03
-6.887955312374705041e-02 -4.124184840983349254e+00 -9.304518230424754233e-01 -3.173022508957860834e-03 1.809664379432839726e-02 3.199609632527139133e-04 4.228402250311392052e+00 2.824385000000000218e+03
1.351651558417257815e-01 -4.462878943414103183e+00 -6.816081113131529090e-01 -3.189168691089467374e-03 1.809266161984306870e-02 3.199036215808174328e-04 4.516652266926310944e+00 2.824485000000000127e+03
3.654830273756931036e-01 -4.782772995695009577e+00 -3.883561656989859001e-01 -3.205340208280389562e-03 1.808882761047969981e-02 3.198536374630034330e-04 4.812412688359710700e+00 2.824585000000000036e+03
6.202787814793447874e-01 -5.069885469421758550e+00 -5.066566260998288385e-02 -3.221537041454361223e-03 1.808515127009591855e-02 3.198097272971405359e-04 5.107940039700455515e+00 2.824684999999999945e+03
8.955784249196961921e-01 -5.308055873927105317e+00 3.285431165401188069e-01 -3.237770074294947856e-03 1.808170657107345189e-02 3.197726015763033259e-04 5.393093588594544130e+00 2.824784000000000106e+03
1.184867385512446969e+00 -5.480055969252509485e+00 7.426626643712296305e-01 -3.254005147424445833e-03 1.807829891389538951e-02 3.197338105054254123e-04 5.655658403797221290e+00 2.824884000000000015e+03
1.479143330206868168e+00 -5.569284001347927671e+00 1.181036602598059426e+00 -3.270210412510425081e-03 1.807471969513727364e-02 3.196896947283313492e-04 5.882145589463237734e+00 2.824983999999999924e+03
1.767092837581496045e+00 -5.561863526197988072e+00 1.628872148715680979e+00 -3.286396921516733169e-03 1.807103018470200897e-02 3.196429945947313624e-04 6.058891603052902752e+00 2.825083999999999833e+03
2.036092133794409342e+00 -5.449185204418397710e+00 2.068307067880437611e+00 -3.302565942307646770e-03 1.806722839601831998e-02 3.195955312050615922e-04 6.173911620390756916e+00 2.825184000000000196e+03
2.273537660611153033e+00 -5.229977601830758438e+00 2.480067896277400319e+00 -3.318765268304672746e-03 1.806359902266845008e-02 3.195548957189938192e-04 6.218711762094659257e+00 2.825284000000000106e+03
2.468589320262579268e+00 -4.911302495584188854e+00 2.845966392962883784e+00 -2.110868578190208070e-03 1.824434514231538032e-02 3.209209349108235461e-04 6.189858653080869466e+00 2.825384000000000015e+03
2.613664102675349543e+00 -4.507865794639454471e+00 3.151319040864842158e+00 -2.127377604569528294e-03 1.824273539243832093e-02 3.209169694126670852e-04 6.089573528697346028e+00 2.825483999999999924e+03
2.705226567298024243e+00 -4.040061278577653958e+00 3.386568616558276901e+00 -2.143888586884330674e-03 1.824113700358192744e-02 3.209120335992191302e-04 5.925301081779305257e+00 2.825583999999999833e+03
2.743874869436608410e+00 -3.530959710806161667e+00 3.548045647392583657e+00 -2.160387926561830457e-03 1.823941964780417466e-02 3.209055151877753800e-04 5.708340712890529467e+00 2.825684000000000196e+03
2.733679370522824836e+00 -3.003586609680975350e+00 3.637501404281636486e+00 -2.176914285148723056e-03 1.823788310347771932e-02 3.209055129322005841e-04 5.452151124907287816e+00 2.825784000000000106e+03
2.681197767888331640e+00 -2.478404589779374945e+00 3.661016654370589762e+00 -2.193471861914052072e-03 1.823657165540398112e-02 3.209113292428668069e-04 5.170527412628973529e+00 2.825884000000000015e+03
2.594258402177206158e+00 -1.971794529015286512e+00 3.627455149760790309e+00 -2.210073797767529886e-03 1.823559169014213679e-02 3.209243545332710057e-04 4.876123581847338961e+00 2.825985000000000127e+03
2.480953017629912605e+00 -1.495564979646170967e+00 3.546937006694423022e+00 -2.226697436075934615e-03 1.823479011097166314e-02 3.209377046340707983e-04 4.579585637750365201e+00 2.826085000000000036e+03
2.348773794804897008e+00 -1.057051831506684136e+00 3.429591751449512227e+00 -2.243300019449681604e-03 1.823382398744769275e-02 3.209451126633376954e-04 4.289078746684928944e+00 2.826184999999999945e+03
2.204215790488599946e+00 -6.600327144964412973e-01 3.284752477409682125e+00 -2.259884982267999342e-03 1.823270850584480726e-02 3.209485748877919297e-04 4.010462476210676641e+00 2.826284999999999854e+03
2.052613777524201932e+00 -3.055073335787338862e-01 3.120520023474762983e+00 -2.276449518519582573e-03 1.823140979346717094e-02 3.209493708895076974e-04 3.747559641614726544e+00 2.826385000000000218e+03
1.898155648449284971e+00 7.426985314259555541e-03 2.943614490196267752e+00 -2.293041443281526072e-03 1.823027967757040457e-02 3.209561755133558646e-04 3.502558535234524317e+00 2.826485000000000127e+03
1.744065008311399323e+00 2.809237618102978229e-01 2.759421757742429371e+00 -2.309671190897726566e-03 1.822941844220948501e-02 3.209684013237885263e-04 3.276444620357287452e+00 2.826585000000000036e+03
1.592649638937444045e+00 5.179215070388070163e-01 2.572088867097430231e+00 -2.326328207272632988e-03 1.822874986085702004e-02 3.209838750625772490e-04 3.069269734009616446e+00 2.826684999999999945e+03
1.445521148823332824e+00 7.216788981384560930e-01 2.384726421932907847e+00 -2.342997917577120930e-03 1.822818021548296141e-02 3.209991195646098210e-04 2.880498556010537836e+00 2.826784999999999854e+03
1.303696994944545162e+00 8.955473110593342723e-01 2.199584699657532560e+00 -2.359638002112428561e-03 1.822739371039208342e-02 3.210088907972970512e-04 2.709207207273109042e+00 2.826885000000000218e+03
1.167747980869445312e+00 1.042720860860197885e+00 2.018225591921617212e+00 -2.376269330967048770e-03 1.822652992393360150e-02 3.210176033144697730e-04 2.554238963054369371e+00 2.826985000000000127e+03
1.037977573597261172e+00 1.166167793429811139e+00 1.841705821177257230e+00 -2.392892755121800354e-03 1.822560284982053733e-02 3.210251870719003529e-04 2.414378822281625148e+00 2.827085000000000036e+03
9.144484504160899085e-01 1.268587503911508207e+00 1.670674726760159601e+00 -2.409524190821681500e-03 1.822472237684924501e-02 3.210341754354146659e-04 2.288380271323792403e+00 2.827184999999999945e+03
7.971084698569020910e-01 1.352396707256011243e+00 1.505498431908928181e+00 -2.426161362659075976e-03 1.822389057472635979e-02 3.210430329200208988e-04 2.175059607227984415e+00 2.827284999999999854e+03
6.857785865291118332e-01 1.419760089387608781e+00 1.346330232994750409e+00 -2.442764650661385928e-03 1.822283085979342285e-02 3.210468974454420868e-04 2.073310415117687100e+00 2.827385000000000218e+03
5.801951164306613506e-01 1.472554536921283352e+00 1.193154352293542386e+00 -2.459334814558507536e-03 1.822154522821922695e-02 3.210466301566601045e-04 1.982084898720149813e+00 2.827485000000000127e+03
4.800616716533872008e-01 1.512414704277135868e+00 1.045855120505551739e+00 -2.475861279666482454e-03 1.821995987471015585e-02 3.210415959136631329e-04 1.900439522687323635e+00 2.827585000000000036e+03
3.850490586616686084e-01 1.540723265683515475e+00 9.042276183082518237e-01 -2.492382987866416291e-03 1.821832956125518307e-02 3.210372120232545131e-04 1.827489683885008320e+00 2.827684999999999945e+03
2.948652056452074066e-01 1.558670897546119649e+00 7.680320453938351832e-01 -2.508921509044399843e-03 1.821681189329309170e-02 3.210352863119813986e-04 1.762462390835405790e+00 2.827786000000000058e+03
