a e i Om w M year jd number node
3.139481861190129841e+00 8.064948212175520048e-01 6.412701084654145234e+01 2.866365776200146342e+02 1.620633983400519753e+02 4.909153749365408004e+01 1.393227000000000089e+03 2.229934460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.155886293129029241e+00 8.054273741932992392e-01 6.370832838649187124e+01 2.866642495609252137e+02 1.618185606978107387e+02 1.260724074115781974e+02 1.383230000000000018e+03 2.226282460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.200373759962396925e+00 8.141424269028596505e-01 6.193597747649452145e+01 2.870036276327689393e+02 1.612930475256982277e+02 -1.441672801441571039e+02 1.373230000000000018e+03 2.222630460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.172534883522157845e+00 8.259910059833615037e-01 6.183428329136199153e+01 2.872877401861813382e+02 1.619185089242717481e+02 -5.830314217283478939e+01 1.363232999999999947e+03 2.218978460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.160260131031057185e+00 8.313731304510934006e-01 6.174318473600902735e+01 2.874978883179983882e+02 1.620704167539099956e+02 2.250143652778339387e+01 1.353232999999999947e+03 2.215326460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.151334720140501311e+00 8.348568389468236095e-01 6.176899798750287118e+01 2.875835999062915107e+02 1.620809812612625933e+02 1.007099343687624611e+02 1.343236000000000104e+03 2.211674460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.147467811582766117e+00 8.355578831536268902e-01 6.172690906581858883e+01 2.876570639527944877e+02 1.620289776361845497e+02 1.768795790266013341e+02 1.333236000000000104e+03 2.208022460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.142085365844077938e+00 8.378820745132242731e-01 6.176209281225514047e+01 2.876741610082381726e+02 1.619282251315543419e+02 -1.089408368563940286e+02 1.323238000000000056e+03 2.204370460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.139169201687223243e+00 8.389925058819924786e-01 6.183211521938290645e+01 2.876338663544777319e+02 1.619073324424879274e+02 -3.582659758269563355e+01 1.313238000000000056e+03 2.200718460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.141200693381243969e+00 8.391313590440885317e-01 6.172447598973622718e+01 2.876122318633322834e+02 1.618832976879683088e+02 3.749092232501604371e+01 1.303240999999999985e+03 2.197066460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.150197848703746306e+00 8.384182213477604506e-01 6.142256424023035066e+01 2.876400806513163388e+02 1.617888708147144712e+02 1.121979028663226643e+02 1.293240999999999985e+03 2.193414460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.177003138232939339e+00 8.369986308889219018e-01 6.062216830420239688e+01 2.877520838430770027e+02 1.613914567427966347e+02 -1.690359544938266083e+02 1.283243999999999915e+03 2.189762460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.188453298994371909e+00 8.384336534198718605e-01 6.098022850312523957e+01 2.878551589580082464e+02 1.613171212236319150e+02 -8.351714340866753616e+01 1.273243999999999915e+03 2.186110460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.177370521503660061e+00 8.550446353819329826e-01 5.902773009039459140e+01 2.882430758576821859e+02 1.618845709193540472e+02 1.608059002796660586e+00 1.263246000000000095e+03 2.182458460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.159683444560636545e+00 8.619136440986100434e-01 5.891422224597251756e+01 2.884747833398171224e+02 1.622208416017014372e+02 8.052560753430729790e+01 1.253246000000000095e+03 2.178806460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.151276891668926439e+00 8.658578868242332582e-01 5.877379620443456076e+01 2.886912161736010489e+02 1.622858020159450803e+02 1.569560729914687727e+02 1.243249000000000024e+03 2.175154460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.143593177869739463e+00 8.686211493515171300e-01 5.865992519952736473e+01 2.888459056745551266e+02 1.621906707967618786e+02 -1.282723420832506065e+02 1.233249000000000024e+03 2.171502460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.138300566193755081e+00 8.702263018973624975e-01 5.864402387550192941e+01 2.888628455753476487e+02 1.620898665873041011e+02 -5.504628414820226823e+01 1.223251999999999953e+03 2.167850460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.137328092286487902e+00 8.709015169650791144e-01 5.862224751886776630e+01 2.888468682240298904e+02 1.620432568968040528e+02 1.692262682914489247e+01 1.213251999999999953e+03 2.164198460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.137978262637259430e+00 8.708723734839058928e-01 5.854254004137863632e+01 2.888395265930125788e+02 1.620141084887147827e+02 8.883263682634368763e+01 1.203255000000000109e+03 2.160546460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.143445883121883888e+00 8.709524595369592115e-01 5.840622939347321818e+01 2.888103421462835740e+02 1.619536477311998794e+02 1.622170386789606766e+02 1.193255000000000109e+03 2.156894460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
