ID,distance,year,jd,planet,number
31135,0.3011927,2067.619,2476242.4329,5.0,382.0
31226,0.2951068,2067.613,2476240.3906,5.0,383.0
31345,0.3133284,2067.6,2476235.378,5.0,384.0
31463,0.3157643,2233.662,2536888.2595,5.0,385.0
31571,0.2996468,2067.607,2476238.1453,5.0,386.0
31635,0.2971329,2067.607,2476237.9787,5.0,387.0
31674,0.2982439,2079.44,2480560.1509,5.0,388.0
31781,0.318438,2221.814,2532560.5755,5.0,389.0
31850,0.3164147,2150.728,2506597.2935,5.0,390.0
31896,0.2986718,2079.439,2480559.8829,5.0,391.0
31997,0.3198231,2115.068,2493572.1814,5.0,392.0
32036,0.3073076,2055.781,2471918.5011,5.0,393.0
32104,0.3186812,2055.745,2471905.5695,5.0,394.0
32137,0.2990431,2079.44,2480560.2236,5.0,395.0
32201,0.304596,2067.601,2476235.8797,5.0,396.0
32341,0.3194428,2150.744,2506602.9409,5.0,397.0
32375,0.2993411,2079.44,2480559.9467,5.0,398.0
32470,0.3218969,2150.627,2506560.4137,5.0,399.0
32565,0.2867699,2067.612,2476240.0139,5.0,400.0
32686,0.2982911,2079.447,2480562.5929,5.0,401.0
32818,0.3012194,2115.086,2493578.9661,5.0,402.0
32846,0.3116682,2055.829,2471936.0061,5.0,403.0
32890,0.3055605,2067.591,2476232.2777,5.0,404.0
32931,0.2892567,2079.447,2480562.4752,5.0,405.0
33070,0.300279,2067.662,2476258.1429,5.0,406.0
33177,0.2925574,2138.794,2502238.2585,5.0,407.0
33249,0.3028716,2067.591,2476232.3046,5.0,408.0
33315,0.308602,2079.464,2480568.7059,5.0,409.0
33479,0.3184507,2257.377,2545549.9874,5.0,410.0
33507,0.3000992,2138.821,2502248.0121,5.0,411.0
33580,0.2980326,2067.592,2476232.7426,5.0,412.0
33695,0.3059618,2055.746,2471905.8366,5.0,413.0
33731,0.2916822,2067.62,2476242.714,5.0,414.0
33856,0.3096713,2055.751,2471907.6947,5.0,415.0
33897,0.2990722,2067.593,2476233.0063,5.0,416.0
33978,0.2887749,2079.446,2480562.4592,5.0,417.0
34091,0.2879586,2079.447,2480562.5293,5.0,418.0
34217,0.2886941,2221.799,2532555.0988,5.0,419.0
34250,0.3053932,2150.626,2506560.0827,5.0,420.0
34294,0.3117594,2138.823,2502248.9213,5.0,421.0
34348,0.3024343,2115.085,2493578.6514,5.0,422.0
34381,0.3191768,2067.598,2476234.7918,5.0,423.0
34539,0.3027341,2055.758,2471910.1533,5.0,424.0
34591,0.301287,2055.757,2471909.8395,5.0,425.0
34663,0.289132,2067.618,2476242.0912,5.0,426.0
34794,0.3033649,2067.614,2476240.5152,5.0,427.0
34898,0.2992954,2138.82,2502247.8819,5.0,428.0
34975,0.3038915,2115.066,2493571.4264,5.0,429.0
35030,0.2913905,2079.447,2480562.5925,5.0,430.0
35206,0.3073594,2115.066,2493571.6828,5.0,431.0
35225,0.3074573,2115.066,2493571.5315,5.0,432.0
35274,0.3125415,2150.626,2506560.1517,5.0,433.0
35345,0.3163652,2233.643,2536881.3733,5.0,434.0
35393,0.3066158,2055.746,2471905.8866,5.0,435.0
35448,0.3051673,2067.643,2476251.0317,5.0,436.0
35600,0.3044955,2115.066,2493571.486,5.0,437.0
35652,0.2878263,2067.613,2476240.0901,5.0,438.0
35751,0.2994823,2055.784,2471919.5783,5.0,439.0
35821,0.3154133,2150.663,2506573.5189,5.0,440.0
35889,0.3030016,2067.591,2476232.2688,5.0,441.0
35972,0.2929989,2067.594,2476233.3338,5.0,442.0
36069,0.3103374,2150.658,2506571.7128,5.0,443.0
36159,0.3117516,2055.824,2471934.1262,5.0,444.0
36195,0.3065906,2079.448,2480562.959,5.0,445.0
36377,0.3023894,2067.596,2476234.0189,5.0,446.0
36471,0.2849727,2079.46,2480567.5583,5.0,447.0
36623,0.3117283,2138.856,2502261.0631,5.0,448.0
36707,0.3118419,2115.063,2493570.5459,5.0,449.0
36748,0.3141553,2067.6,2476235.6403,5.0,450.0
36866,0.3112052,2067.682,2476265.5292,5.0,451.0
36979,0.3146204,2055.843,2471941.3244,5.0,452.0
37019,0.3143688,2115.063,2493570.6739,5.0,453.0
37053,0.3113355,2067.612,2476239.8319,5.0,454.0
37127,0.3091483,2055.786,2471920.2157,5.0,455.0
37181,0.3197036,2067.589,2476231.4675,5.0,456.0
37208,0.3082156,2138.761,2502226.215,5.0,457.0
37273,0.3124561,2079.435,2480558.412,5.0,458.0
37351,0.3128957,2257.398,2545557.7859,5.0,459.0
37410,0.2909044,2138.794,2502238.2572,5.0,460.0
37443,0.3069014,2115.066,2493571.4688,5.0,461.0
37469,0.3070952,2150.655,2506570.5312,5.0,462.0
37568,0.3210188,2138.772,2502230.3563,5.0,463.0
37646,0.2978394,2055.777,2471917.0457,5.0,464.0
37724,0.3011322,2079.486,2480577.0632,5.0,465.0
37843,0.3084722,2150.621,2506558.1503,5.0,466.0
37897,0.3042469,2055.779,2471917.8599,5.0,467.0
37927,0.3217834,2055.789,2471921.3265,5.0,468.0
37962,0.3054243,2067.621,2476243.0392,5.0,469.0
38106,0.2952465,2257.378,2545550.6234,5.0,470.0
38158,0.3012248,2115.07,2493573.034,5.0,471.0
38211,0.2973791,2079.487,2480577.2453,5.0,472.0
38312,0.3149309,2055.841,2471940.5413,5.0,473.0
38364,0.2796891,2079.449,2480563.5305,5.0,474.0
38460,0.3176646,2150.681,2506579.8945,5.0,475.0
38541,0.3048479,2067.591,2476232.2977,5.0,476.0
38622,0.313128,2055.751,2471907.7154,5.0,477.0
38707,0.3028537,2079.441,2480560.3687,5.0,478.0
38818,0.3072886,2055.752,2471907.8584,5.0,479.0
38836,0.2958848,2328.572,2571552.9164,5.0,480.0
38874,0.3217757,2150.745,2506603.5022,5.0,481.0
38894,0.2859775,2067.618,2476242.2464,5.0,482.0
39005,0.3188933,2055.753,2471908.2164,5.0,483.0
