distance year jd planet number
2.894978999999999747e-01 1.581258000000000038e+03 2.298612506099999882e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.766305000000000014e-01 1.498363000000000056e+03 2.268334910399999935e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.548089000000000048e-01 1.498346999999999980e+03 2.268329279600000009e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.400316999999999867e-01 1.498333000000000084e+03 2.268324128800000064e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.315859000000000112e-01 1.498319999999999936e+03 2.268319314799999818e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.289133999999999891e-01 1.498307000000000016e+03 2.268314721400000155e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.315665000000000084e-01 1.498295000000000073e+03 2.268310233500000089e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.392436000000000007e-01 1.498282999999999902e+03 2.268305747299999930e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.517681999999999976e-01 1.498269999999999982e+03 2.268301170700000133e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.671734000000000053e-01 1.498259000000000015e+03 2.268296892500000075e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.889706000000000219e-01 1.498244999999999891e+03 2.268291879600000102e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.923160000000000203e-01 1.379769000000000005e+03 2.225018165899999905e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.680113000000000079e-01 1.379752999999999929e+03 2.225012187799999956e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.511839000000000155e-01 1.379738000000000056e+03 2.225006739699999802e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.410924000000000123e-01 1.379723999999999933e+03 2.225001686300000176e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.370699000000000001e-01 1.379711000000000013e+03 2.224996874299999792e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.386445000000000094e-01 1.379698000000000093e+03 2.224992209600000177e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.454782000000000075e-01 1.379684999999999945e+03 2.224987557000000030e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.573197999999999874e-01 1.379672000000000025e+03 2.224982845199999865e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.741711000000000009e-01 1.379659000000000106e+03 2.224977949599999934e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.961262000000000061e-01 1.379644999999999982e+03 2.224972777799999807e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.868850000000000011e-01 1.344172000000000025e+03 2.212016604700000025e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.652280000000000193e-01 1.344155999999999949e+03 2.212010771600000095e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.509706999999999910e-01 1.344142000000000053e+03 2.212005441199999768e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.432581000000000049e-01 1.344127999999999929e+03 2.212000427800000180e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.415551999999999977e-01 1.344115000000000009e+03 2.211995634399999864e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.454064999999999996e-01 1.344102000000000089e+03 2.211990918099999893e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.545018000000000002e-01 1.344088999999999942e+03 2.211986194600000046e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.687266999999999850e-01 1.344076000000000022e+03 2.211981344299999997e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.858289999999999997e-01 1.344064000000000078e+03 2.211976814199999906e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.991457000000000144e-01 1.225531999999999925e+03 2.168683835599999875e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.959349000000000007e-01 1.783055000000000064e+03 2.372307568099999800e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.686231000000000035e-01 1.783038000000000011e+03 2.372301551700000186e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.494906000000000068e-01 1.783023999999999887e+03 2.372296306599999778e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.363607000000000069e-01 1.783009999999999991e+03 2.372291308199999854e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.293435000000000057e-01 1.782998000000000047e+03 2.372286592999999877e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.279778000000000082e-01 1.782984999999999900e+03 2.372282082799999975e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.318448999999999927e-01 1.782972999999999956e+03 2.372277638999999966e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.406561999999999868e-01 1.782961000000000013e+03 2.372273187500000000e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.543186000000000058e-01 1.782948000000000093e+03 2.372268612000000197e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.728090000000000237e-01 1.782934999999999945e+03 2.372263833699999843e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.962237999999999816e-01 1.782921000000000049e+03 2.372258768000000156e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.976620999999999850e-01 1.676291999999999916e+03 2.333313428199999966e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.674460000000000170e-01 1.676276000000000067e+03 2.333307344200000167e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.508947999999999734e-01 1.676265000000000100e+03 2.333303476499999873e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.507552000000000114e-01 1.676265000000000100e+03 2.333303441300000064e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.505461999999999967e-01 1.676265000000000100e+03 2.333303388400000054e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.502337000000000033e-01 1.676265000000000100e+03 2.333303309100000188e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.497668999999999861e-01 1.676263999999999896e+03 2.333303190200000070e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.490713999999999984e-01 1.676263999999999896e+03 2.333303011700000148e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.480388000000000037e-01 1.676262999999999920e+03 2.333302744099999778e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.465141000000000138e-01 1.676261999999999944e+03 2.333302342699999921e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.442825000000000135e-01 1.676259999999999991e+03 2.333301740499999840e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.410636999999999919e-01 1.676258000000000038e+03 2.333300837299999781e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.365374000000000088e-01 1.676253999999999905e+03 2.333299482499999925e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.304691000000000101e-01 1.676248000000000047e+03 2.333297450199999847e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.231267999999999863e-01 1.676240000000000009e+03 2.333294401800000109e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.165977000000000041e-01 1.676228000000000065e+03 2.333289966500000097e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.153240999999999905e-01 1.676215999999999894e+03 2.333285691500000190e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.189791000000000099e-01 1.676204999999999927e+03 2.333281479100000113e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.272909999999999930e-01 1.676192999999999984e+03 2.333277258700000122e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.401734000000000091e-01 1.676181000000000040e+03 2.333272920200000051e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.575813000000000130e-01 1.676169000000000096e+03 2.333268394400000107e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.796522000000000174e-01 1.676155999999999949e+03 2.333263589499999769e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.817779999999999729e-01 1.486503999999999905e+03 2.264003394900000188e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.549710000000000032e-01 1.486488000000000056e+03 2.263997657999999821e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.352578999999999920e-01 1.486473999999999933e+03 2.263992459600000177e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.221054000000000084e-01 1.486461000000000013e+03 2.263987714199999813e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.147730999999999946e-01 1.486449000000000069e+03 2.263983265399999917e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.127691999999999917e-01 1.486436999999999898e+03 2.263979016900000162e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.156837000000000060e-01 1.486425999999999931e+03 2.263974852099999785e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.232439999999999980e-01 1.486413999999999987e+03 2.263970684400000144e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.353135000000000088e-01 1.486403000000000020e+03 2.263966420200000051e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.518865000000000132e-01 1.486390000000000100e+03 2.263961972399999853e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.729971999999999954e-01 1.486376999999999953e+03 2.263957272299999837e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.990379000000000231e-01 1.486364000000000033e+03 2.263952197600000072e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.766996999999999929e-01 1.356048999999999978e+03 2.216354453399999999e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.531075999999999881e-01 1.356032999999999902e+03 2.216348734000000171e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.368088999999999889e-01 1.356019000000000005e+03 2.216343569500000216e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.269133999999999873e-01 1.356006000000000085e+03 2.216338797400000039e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.227387999999999868e-01 1.355993999999999915e+03 2.216334255799999926e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.241825000000000068e-01 1.355980999999999995e+03 2.216329481999999844e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.306679000000000090e-01 1.355969000000000051e+03 2.216325103300000075e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.418578000000000117e-01 1.355957000000000107e+03 2.216320666600000113e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.577862000000000209e-01 1.355943999999999960e+03 2.216316047799999826e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.783746000000000276e-01 1.355931000000000040e+03 2.216311200199999847e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.954751999999999934e-01 1.273026000000000067e+03 2.186030997200000100e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.770760999999999918e-01 1.273009000000000015e+03 2.186024937500000000e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.660684999999999856e-01 1.272993999999999915e+03 2.186019312700000126e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.617262000000000199e-01 1.272979000000000042e+03 2.186013947099999990e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.635427000000000186e-01 1.272964999999999918e+03 2.186008753000000026e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.710695000000000188e-01 1.272951000000000022e+03 2.186003604400000069e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.841297999999999879e-01 1.272936999999999898e+03 2.185998356699999887e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.776936999999999878e-01 1.237410000000000082e+03 2.173022242399999872e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.597060999999999953e-01 1.237394999999999982e+03 2.173016620699999854e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.487539000000000000e-01 1.237381000000000085e+03 2.173011421500000171e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.441068999999999878e-01 1.237366999999999962e+03 2.173006475600000005e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.451098999999999917e-01 1.237355000000000018e+03 2.173001899399999995e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.514964000000000088e-01 1.237340999999999894e+03 2.172997136799999978e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.630533999999999928e-01 1.237327999999999975e+03 2.172992330999999773e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.797958999999999863e-01 1.237315000000000055e+03 2.172987340499999933e+06 5.000000000000000000e+00 8.600000000000000000e+01
2.956342000000000136e-01 1.913541999999999916e+03 2.419966508100000210e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.669250000000000234e-01 1.913526000000000067e+03 2.419960478800000157e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.456814999999999971e-01 1.913510999999999967e+03 2.419955030499999877e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.313002000000000113e-01 1.913497000000000071e+03 2.419950061300000176e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.230332999999999899e-01 1.913484999999999900e+03 2.419945421399999876e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.203330000000000011e-01 1.913472999999999956e+03 2.419940995099999942e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.227656000000000081e-01 1.913461000000000013e+03 2.419936674500000197e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.300407999999999897e-01 1.913449000000000069e+03 2.419932355299999937e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.419805999999999901e-01 1.913436999999999898e+03 2.419927952500000130e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.586049999999999738e-01 1.913423999999999978e+03 2.419923361299999990e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.798552999999999735e-01 1.913411000000000058e+03 2.419918531299999915e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.845785000000000120e-01 1.818662000000000035e+03 2.385312036799999885e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.737743999999999733e-01 1.818645999999999958e+03 2.385306239500000142e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.697899000000000269e-01 1.818631000000000085e+03 2.385300712900000159e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.720964000000000160e-01 1.818615999999999985e+03 2.385295338800000027e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.796883000000000008e-01 1.818602000000000089e+03 2.385290288100000005e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.932692000000000077e-01 1.818586999999999989e+03 2.385284844800000079e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.754364000000000257e-01 1.747503999999999905e+03 2.359322359399999958e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.574102999999999808e-01 1.747488000000000056e+03 2.359316696399999782e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.463174999999999948e-01 1.747473999999999933e+03 2.359311468799999915e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.414148999999999878e-01 1.747460000000000036e+03 2.359306499600000214e+06 5.000000000000000000e+00 8.700000000000000000e+01
2.422375999999999974e-01 1.747446999999999889e+03 2.359301685800000094e+06 5.000000000000000000e+00 8.700000000000000000e+01
