a e i Om w M year jd number v
3.118566436000000053e+00 6.177662059999999844e-01 7.085884815199999309e+01 2.828964570510000271e+02 1.714269040709999956e+02 9.893299530000000397e-01 2.003180066886000077e+03 2.452706028019735124e+06 3.100000000000000000e+01 5.344725616999999929e+00
3.138414545999999916e+00 6.201964450000000406e-01 7.074241998799999465e+01 2.829040948140000182e+02 1.713728415209999980e+02 8.806845570000000345e-01 2.003178533607999952e+03 2.452705468002080917e+06 3.200000000000000000e+01 4.759158067999999631e+00
3.114049347999999995e+00 6.171893569999999940e-01 7.078049013599999739e+01 2.829013152559999753e+02 1.715295461789999933e+02 8.999575340000000034e-01 2.003178669723999974e+03 2.452705517717179842e+06 3.300000000000000000e+01 4.957609792999999598e+00
3.113825367000000011e+00 6.171803970000000472e-01 7.082680027499999653e+01 2.828980021190000116e+02 1.714494407280000132e+02 8.432114739999999609e-01 2.003177802094000072e+03 2.452705200822057202e+06 3.400000000000000000e+01 4.572340323999999789e+00
3.106439131000000131e+00 6.162777480000000141e-01 7.076469479700000420e+01 2.829022282860000246e+02 1.714058507409999947e+02 9.700851470000000365e-01 2.003179685986000095e+03 2.452705888899118174e+06 3.500000000000000000e+01 5.189694491000000021e+00
3.138498637000000091e+00 6.202026379999999728e-01 7.074299758899999802e+01 2.829073363109999946e+02 1.713708579519999944e+02 3.124936839999999938e-01 2.003169758244999912e+03 2.452702262869188096e+06 3.600000000000000000e+01 1.672492665999999906e+00
3.138676841000000106e+00 6.202228429999999681e-01 7.074299745899999436e+01 2.829085148589999790e+02 1.713701411220000068e+02 1.103620220000000041e-01 2.003166636395000069e+03 2.452701122637792956e+06 3.700000000000000000e+01 5.731615359999999715e-01
3.107353396999999795e+00 6.163968279999999522e-01 7.081373010000000079e+01 2.828980715509999868e+02 1.713363406969999971e+02 2.070604580000000028e-01 2.003168082305000098e+03 2.452701650744924787e+06 3.800000000000000000e+01 1.043674760999999895e+00
3.133534871000000166e+00 6.195970929999999877e-01 7.075332690199999774e+01 2.829054531240000188e+02 1.714170003899999983e+02 4.216341220000000001e-01 2.003171428514999889e+03 2.452702872922061011e+06 3.900000000000000000e+01 2.305369992000000146e+00
3.112748748000000010e+00 6.170548609999999545e-01 7.083126682399999652e+01 2.828974885879999874e+02 1.714170311530000106e+02 7.916612969999999860e-01 2.003177008986999908e+03 2.452704911146081984e+06 4.000000000000000000e+01 4.261361347000000244e+00
3.141961755000000078e+00 6.206270630000000343e-01 7.078581059699999400e+01 2.829018070270000180e+02 1.713014810699999941e+02 3.379029909999999859e-01 2.003170159342000034e+03 2.452702409366522916e+06 4.100000000000000000e+01 1.742749386999999928e+00
3.108885546999999860e+00 6.165770210000000029e-01 7.076234776100000090e+01 2.829021743629999719e+02 1.714165797679999912e+02 1.021074301000000073e+00 2.003180479844000047e+03 2.452706178849676158e+06 4.200000000000000000e+01 5.479102311000000114e+00
