a e i Om w M year jd number node
2.818189978610147861e+00 7.143575554673387007e-01 7.068734415151240569e+01 2.841448476772177969e+02 1.676823937087637262e+02 -1.757710513269038088e+01 1.269073000000000093e+03 2.184587259099999908e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.813332323065990792e+00 7.161401303131038620e-01 7.077485052197123139e+01 2.841424978225519453e+02 1.676142768614423915e+02 -5.910883970366504769e+01 1.259076000000000022e+03 2.180935259000000078e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.821924745370573806e+00 7.154703590290869553e-01 7.077370644229048935e+01 2.841600216263342418e+02 1.673895617178127964e+02 -1.015237220086976180e+02 1.249076000000000022e+03 2.177283259000000078e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.826307263844774820e+00 7.145403259541908136e-01 7.035465691429155299e+01 2.842127602188603532e+02 1.672345242525123581e+02 -1.383744863008575976e+02 1.239078999999999951e+03 2.173631258899999782e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.823951903052043022e+00 7.162769140675969703e-01 7.044282804674132592e+01 2.841703450784573306e+02 1.671843829512943671e+02 -1.771339305453241195e+02 1.229078999999999951e+03 2.169979258799999952e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.838845816297609126e+00 7.145238506005440193e-01 7.002251168938992976e+01 2.842479142832128218e+02 1.668589053288411321e+02 1.486131899630845226e+02 1.219082000000000107e+03 2.166327258799999952e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.832753396419819492e+00 7.164410608989544293e-01 7.013771321313460305e+01 2.842295596220044445e+02 1.668370823518017687e+02 1.144948537444992809e+02 1.209082000000000107e+03 2.162675258700000122e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.845140846832073578e+00 7.147140669209604003e-01 6.973105782538880248e+01 2.842675517616232810e+02 1.665797518474102219e+02 8.126427677547438577e+01 1.199084000000000060e+03 2.159023258700000122e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.839774361432181760e+00 7.172935547997213446e-01 6.984067745257893023e+01 2.842770538582686299e+02 1.665039832960840727e+02 5.092454035964167502e+01 1.189084000000000060e+03 2.155371258599999826e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.840469414441638030e+00 7.175101116129457557e-01 6.982526004526377505e+01 2.842789006072150642e+02 1.664876886101262130e+02 1.836575763020844221e+01 1.179086999999999989e+03 2.151719258599999826e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.847971746346310784e+00 7.165856783582309486e-01 6.958260085147381346e+01 2.843127588292767314e+02 1.662954126935322563e+02 -1.077267384938526007e+01 1.169086999999999989e+03 2.148067258499999996e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.838931070214831820e+00 7.201104355120881984e-01 6.978223266426060434e+01 2.842965709742748004e+02 1.662507582449251515e+02 -4.235691064434402620e+01 1.159089999999999918e+03 2.144415258400000166e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.846706217219723722e+00 7.192288727615785415e-01 6.956201030070728564e+01 2.843019165645336557e+02 1.661808725886259026e+02 -7.337201764484902355e+01 1.149089999999999918e+03 2.140763258400000166e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.836869186020361422e+00 7.237001240396403468e-01 6.971327390542936087e+01 2.843583939239160827e+02 1.661087294959876033e+02 -1.042648063512124565e+02 1.139092000000000098e+03 2.137111258299999870e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.840328677774339283e+00 7.234328684673739795e-01 6.959419614097103590e+01 2.843360757421837093e+02 1.660186319177161636e+02 -1.375584462045962368e+02 1.129092000000000098e+03 2.133459258299999870e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.837795256790005993e+00 7.248177639877556588e-01 6.979560106514577456e+01 2.843590768281321175e+02 1.660571939214978840e+02 -1.693146160419898649e+02 1.119095000000000027e+03 2.129807258200000040e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.829639763665975583e+00 7.293856066561050788e-01 6.975550444950513906e+01 2.844031296410942673e+02 1.659335145922919708e+02 1.547255771054069555e+02 1.109095000000000027e+03 2.126155258200000040e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.834055190400814439e+00 7.292935751783887754e-01 6.965003477537739229e+01 2.843977017032911476e+02 1.658849495173207060e+02 1.195923693414125779e+02 1.099097999999999956e+03 2.122503258100000210e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.820860400194267648e+00 7.358784447505629656e-01 6.990001410758857503e+01 2.844728372784525732e+02 1.658450475756505682e+02 8.203320953395864024e+01 1.089097999999999956e+03 2.118851257999999914e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.824331236219729924e+00 7.355085221579764632e-01 6.976023018914999341e+01 2.844505295076355651e+02 1.658265399303386118e+02 4.258462133523226356e+01 1.079101000000000113e+03 2.115199257999999914e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.814284058112921816e+00 7.417722234924801761e-01 6.991416148038339884e+01 2.845478482230025747e+02 1.657425548574145466e+02 3.500777341968208223e+00 1.069101000000000113e+03 2.111547257900000084e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.814200375770893103e+00 7.420546990272550714e-01 6.991588382891633557e+01 2.845403985101943931e+02 1.657156824108972728e+02 -3.948611653797097176e+01 1.059103000000000065e+03 2.107895257900000084e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.816194609457689513e+00 7.417225165805411136e-01 6.981170024849414801e+01 2.845639352788949736e+02 1.656557347610952604e+02 -8.101323491845633384e+01 1.049103000000000065e+03 2.104243257799999788e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.805540322371634865e+00 7.472291342294125061e-01 7.001217584105498304e+01 2.845814506668878039e+02 1.655870532215361379e+02 -1.262726311376365373e+02 1.039105999999999995e+03 2.100591257699999958e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.811762080839125044e+00 7.468050296088732942e-01 6.985294446813712455e+01 2.845819238046381088e+02 1.655392434109779174e+02 -1.709470670940319792e+02 1.029105999999999995e+03 2.096939257699999958e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.801728363287201873e+00 7.509531805492314360e-01 7.003677885120977464e+01 2.846219027873013943e+02 1.654974284853472284e+02 1.433529539990572630e+02 1.019109000000000037e+03 2.093287257599999895e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.808517492480276712e+00 7.502097644440038904e-01 6.974988493190799943e+01 2.846269131928517027e+02 1.653758143331847350e+02 9.657343449302054239e+01 1.009109000000000037e+03 2.089635257599999895e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.869702441492198552e+00 6.559659416266132581e-01 7.201152384143395579e+01 2.834004075346961713e+02 1.764321382899644561e+02 -2.010957516220836183e+01 1.999009999999999991e+03 2.451183263300000224e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.849449387215120755e+00 6.647006568304183460e-01 7.248138430209901628e+01 2.834810883864506650e+02 1.760612079922192947e+02 -4.553502302386679901e+01 1.989009999999999991e+03 2.447531263199999928e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.853654173739313293e+00 6.644896032590136281e-01 7.240521736202296665e+01 2.834486408388779637e+02 1.760860755069186041e+02 -7.346054012135273581e+01 1.979012999999999920e+03 2.443879263199999928e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.838801718791299944e+00 6.745630905109972764e-01 7.271411481796687326e+01 2.836708232290615115e+02 1.751978772273409390e+02 -9.933580824775749818e+01 1.969012999999999920e+03 2.440227263100000098e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.837820100152697034e+00 6.747386956640051281e-01 7.271656573739625173e+01 2.836378133544200182e+02 1.751602378320470450e+02 -1.323562329508228856e+02 1.959016000000000076e+03 2.436575263100000098e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.853825604645219283e+00 6.715802190759886381e-01 7.325403966993280847e+01 2.837487108522471999e+02 1.743646358313078508e+02 -1.623530479929031571e+02 1.949016000000000076e+03 2.432923262999999803e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.848619365440549611e+00 6.748690961055848758e-01 7.243766662792282318e+01 2.838643848009891713e+02 1.740103199129946745e+02 1.704955003463861658e+02 1.939019000000000005e+03 2.429271262999999803e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.849289146890181090e+00 6.754441651393099377e-01 7.246681913500790984e+01 2.838312793138609891e+02 1.739706698545817574e+02 1.415888000676606282e+02 1.929019000000000005e+03 2.425619262899999972e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.869922144228315375e+00 6.698979087954454181e-01 7.197339887547680348e+01 2.839663441517458295e+02 1.733185815521347024e+02 1.196854050355986914e+02 1.919020999999999958e+03 2.421967262800000142e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.864827891464421405e+00 6.711437302966392071e-01 7.206010711558819537e+01 2.839357176820750510e+02 1.732956232376476464e+02 9.802719154469365037e+01 1.909020999999999958e+03 2.418315262800000142e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.876134355794545794e+00 6.686187743046014820e-01 7.174156630780113630e+01 2.839496205124098651e+02 1.730517964705782674e+02 7.723867561157355510e+01 1.899020999999999958e+03 2.414663262699999847e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.868885682116617097e+00 6.718953723741073469e-01 7.191515924847392682e+01 2.839627669496251201e+02 1.729280764880300580e+02 5.922673244909265122e+01 1.889020999999999958e+03 2.411011262699999847e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.869408736234097201e+00 6.720733938469646285e-01 7.189614852966680303e+01 2.839612379713732366e+02 1.729035825286591432e+02 3.813774124585518166e+01 1.879023999999999887e+03 2.407359262600000016e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.873489450819434854e+00 6.713879641418436517e-01 7.178304750343660601e+01 2.839714739882476238e+02 1.727906330392483483e+02 1.885358197876829678e+01 1.869023999999999887e+03 2.403707262600000016e+06 2.000000000000000000e+00 0.000000000000000000e+00
