X Y Z year
4.909723699999999802e+00 5.657375999999999516e-01 -1.110323000000000004e-01 2.675253799999999956e+03
4.908745500000000206e+00 5.736086999999999714e-01 -1.110465999999999953e-01 2.675256600000000162e+03
4.907755299999999821e+00 5.814785000000000093e-01 -1.110605999999999954e-01 2.675259300000000167e+03
4.906753000000000142e+00 5.893467999999999485e-01 -1.110743000000000008e-01 2.675262099999999919e+03
4.905738699999999675e+00 5.972136999999999585e-01 -1.110876999999999976e-01 2.675264799999999923e+03
4.904712400000000194e+00 6.050790999999999809e-01 -1.111009000000000024e-01 2.675267499999999927e+03
4.903674099999999925e+00 6.129430000000000156e-01 -1.111137999999999987e-01 2.675270300000000134e+03
4.902623700000000362e+00 6.208053999999999517e-01 -1.111264000000000002e-01 2.675273000000000138e+03
4.901561400000000290e+00 6.286663000000000112e-01 -1.111387999999999959e-01 2.675275799999999890e+03
4.900487000000000037e+00 6.365256999999999721e-01 -1.111508999999999969e-01 2.675278499999999894e+03
4.899400599999999883e+00 6.443834999999999980e-01 -1.111627000000000032e-01 2.675281199999999899e+03
4.898302100000000436e+00 6.522396999999999778e-01 -1.111742000000000008e-01 2.675284000000000106e+03
4.897191699999999592e+00 6.600943000000000227e-01 -1.111855000000000065e-01 2.675286700000000110e+03
4.896069299999999735e+00 6.679473000000000216e-01 -1.111965000000000037e-01 2.675289499999999862e+03
4.894934799999999697e+00 6.757986999999999744e-01 -1.112072000000000060e-01 2.675292199999999866e+03
4.893788400000000038e+00 6.836484000000000449e-01 -1.112177000000000027e-01 2.675294899999999870e+03
4.892629900000000198e+00 6.914964000000000111e-01 -1.112279000000000045e-01 2.675297700000000077e+03
4.891459399999999569e+00 6.993426999999999838e-01 -1.112377999999999978e-01 2.675300400000000081e+03
4.890277000000000207e+00 7.071872999999999632e-01 -1.112473999999999963e-01 2.675303199999999833e+03
4.889082499999999776e+00 7.150301999999999492e-01 -1.112568000000000029e-01 2.675305899999999838e+03
4.887876099999999724e+00 7.228712999999999944e-01 -1.112659000000000009e-01 2.675308599999999842e+03
4.886657699999999771e+00 7.307107000000000463e-01 -1.112747000000000042e-01 2.675311400000000049e+03
4.885427199999999637e+00 7.385483000000000464e-01 -1.112831999999999988e-01 2.675314100000000053e+03
4.884184799999999882e+00 7.463840000000000474e-01 -1.112915000000000015e-01 2.675316899999999805e+03
4.882930499999999618e+00 7.542178999999999967e-01 -1.112994999999999957e-01 2.675319599999999809e+03
4.881664100000000062e+00 7.620500000000000052e-01 -1.113071999999999950e-01 2.675322299999999814e+03
4.880385799999999996e+00 7.698802000000000145e-01 -1.113145999999999997e-01 2.675325100000000020e+03
4.879095500000000030e+00 7.777085000000000248e-01 -1.113217999999999985e-01 2.675327800000000025e+03
4.877793200000000162e+00 7.855349000000000359e-01 -1.113287000000000027e-01 2.675330599999999777e+03
4.876478900000000394e+00 7.933594000000000479e-01 -1.113354000000000010e-01 2.675333299999999781e+03
4.875152700000000117e+00 8.011819000000000024e-01 -1.113417000000000018e-01 2.675335999999999785e+03
4.873814499999999938e+00 8.090024999999999578e-01 -1.113477999999999968e-01 2.675338799999999992e+03
4.872464400000000140e+00 8.168210999999999666e-01 -1.113535999999999970e-01 2.675341499999999996e+03
4.871102300000000440e+00 8.246377000000000290e-01 -1.113592000000000054e-01 2.675344300000000203e+03
4.869728300000000232e+00 8.324521999999999755e-01 -1.113644000000000023e-01 2.675347000000000207e+03
4.868342300000000122e+00 8.402646999999999755e-01 -1.113693999999999934e-01 2.675349700000000212e+03
4.866944300000000112e+00 8.480752000000000290e-01 -1.113741000000000037e-01 2.675352499999999964e+03
4.865534499999999873e+00 8.558835000000000193e-01 -1.113785999999999943e-01 2.675355199999999968e+03
4.864112600000000342e+00 8.636897999999999520e-01 -1.113828000000000040e-01 2.675358000000000175e+03
4.862678899999999693e+00 8.714939999999999909e-01 -1.113867000000000052e-01 2.675360700000000179e+03
4.861233200000000032e+00 8.792959999999999665e-01 -1.113902999999999976e-01 2.675363400000000183e+03
4.859775599999999862e+00 8.870957999999999899e-01 -1.113935999999999954e-01 2.675366199999999935e+03
4.858305999999999791e+00 8.948935000000000084e-01 -1.113967000000000013e-01 2.675368899999999940e+03
4.856824600000000380e+00 9.026889999999999636e-01 -1.113994999999999985e-01 2.675371700000000146e+03
4.855331200000000180e+00 9.104822000000000193e-01 -1.114021000000000039e-01 2.675374400000000151e+03
4.853825900000000360e+00 9.182732999999999590e-01 -1.114042999999999978e-01 2.675377100000000155e+03
4.852308599999999750e+00 9.260620000000000518e-01 -1.114062999999999998e-01 2.675379899999999907e+03
4.850779499999999800e+00 9.338484999999999703e-01 -1.114079999999999931e-01 2.675382599999999911e+03
4.849238500000000229e+00 9.416326999999999892e-01 -1.114094999999999946e-01 2.675385400000000118e+03
4.847685499999999870e+00 9.494145999999999974e-01 -1.114105999999999985e-01 2.675388100000000122e+03
4.846120700000000170e+00 9.571941999999999950e-01 -1.114114999999999966e-01 2.675390800000000127e+03
4.844543999999999961e+00 9.649714000000000347e-01 -1.114122000000000029e-01 2.675393599999999878e+03
4.842955299999999852e+00 9.727462999999999527e-01 -1.114124999999999976e-01 2.675396299999999883e+03
4.841354800000000402e+00 9.805186999999999653e-01 -1.114126000000000005e-01 2.675399100000000089e+03
4.839742400000000444e+00 9.882887999999999673e-01 -1.114123999999999948e-01 2.675401800000000094e+03
4.838118099999999977e+00 9.960563999999999529e-01 -1.114118999999999943e-01 2.675404500000000098e+03
4.836482000000000170e+00 1.003821599999999981e+00 -1.114112000000000019e-01 2.675407299999999850e+03
4.834833899999999574e+00 1.011584299999999992e+00 -1.114100999999999980e-01 2.675409999999999854e+03
4.833173999999999637e+00 1.019344599999999934e+00 -1.114089000000000051e-01 2.675412800000000061e+03
4.831502300000000361e+00 1.027102299999999913e+00 -1.114073000000000008e-01 2.675415500000000065e+03
4.829818600000000295e+00 1.034857499999999986e+00 -1.114055000000000045e-01 2.675418200000000070e+03
4.828123200000000281e+00 1.042610199999999931e+00 -1.114032999999999968e-01 2.675420999999999822e+03
4.826415800000000367e+00 1.050360299999999913e+00 -1.114010000000000000e-01 2.675423699999999826e+03
4.824696600000000224e+00 1.058107899999999990e+00 -1.113983000000000056e-01 2.675426500000000033e+03
4.822965599999999853e+00 1.065852800000000045e+00 -1.113954000000000055e-01 2.675429200000000037e+03
4.821222699999999861e+00 1.073595099999999913e+00 -1.113921999999999968e-01 2.675431900000000041e+03
4.819467999999999641e+00 1.081334800000000040e+00 -1.113886999999999933e-01 2.675434699999999793e+03
4.817701399999999801e+00 1.089071799999999923e+00 -1.113848999999999950e-01 2.675437399999999798e+03
4.815923100000000012e+00 1.096806200000000064e+00 -1.113809000000000049e-01 2.675440200000000004e+03
4.814132899999999715e+00 1.104537899999999961e+00 -1.113766000000000062e-01 2.675442900000000009e+03
4.812330799999999797e+00 1.112266800000000000e+00 -1.113719999999999988e-01 2.675445600000000013e+03
4.810516999999999932e+00 1.119993000000000016e+00 -1.113671999999999995e-01 2.675448400000000220e+03
4.808691299999999558e+00 1.127716500000000011e+00 -1.113621000000000055e-01 2.675451100000000224e+03
4.806853900000000124e+00 1.135437199999999924e+00 -1.113567000000000029e-01 2.675453799999999774e+03
4.805004600000000181e+00 1.143155099999999980e+00 -1.113510000000000055e-01 2.675456599999999980e+03
4.803143500000000010e+00 1.150870300000000013e+00 -1.113451000000000024e-01 2.675459299999999985e+03
4.801270699999999891e+00 1.158582500000000071e+00 -1.113389000000000045e-01 2.675462100000000191e+03
4.799386000000000152e+00 1.166292000000000106e+00 -1.113323999999999980e-01 2.675464800000000196e+03
4.797489599999999577e+00 1.173998600000000003e+00 -1.113255999999999968e-01 2.675467500000000200e+03
4.795581399999999661e+00 1.181702199999999925e+00 -1.113186000000000037e-01 2.675470299999999952e+03
4.793661400000000405e+00 1.189402999999999988e+00 -1.113113000000000019e-01 2.675472999999999956e+03
4.791729600000000033e+00 1.197100899999999912e+00 -1.113037000000000054e-01 2.675475800000000163e+03
4.789786099999999713e+00 1.204795800000000083e+00 -1.112959000000000032e-01 2.675478500000000167e+03
4.787830800000000053e+00 1.212487799999999893e+00 -1.112877000000000033e-01 2.675481200000000172e+03
4.785863799999999557e+00 1.220176799999999950e+00 -1.112792999999999977e-01 2.675483999999999924e+03
4.783884999999999721e+00 1.227862800000000032e+00 -1.112707000000000002e-01 2.675486699999999928e+03
4.781894399999999656e+00 1.235545799999999916e+00 -1.112617000000000050e-01 2.675489500000000135e+03
4.779892099999999644e+00 1.243225800000000048e+00 -1.112525000000000042e-01 2.675492200000000139e+03
4.777878099999999684e+00 1.250902699999999923e+00 -1.112429999999999947e-01 2.675494900000000143e+03
4.775852300000000383e+00 1.258576499999999987e+00 -1.112332999999999933e-01 2.675497699999999895e+03
4.773814800000000247e+00 1.266247200000000017e+00 -1.112231999999999943e-01 2.675500399999999900e+03
4.771765600000000163e+00 1.273914800000000014e+00 -1.112129000000000034e-01 2.675503200000000106e+03
4.769704700000000130e+00 1.281579299999999977e+00 -1.112023000000000039e-01 2.675505900000000111e+03
4.767631999999999870e+00 1.289240699999999906e+00 -1.111914999999999987e-01 2.675508600000000115e+03
4.765547699999999942e+00 1.296898899999999966e+00 -1.111803999999999987e-01 2.675511399999999867e+03
4.763451599999999786e+00 1.304553899999999933e+00 -1.111690000000000039e-01 2.675514099999999871e+03
4.761343799999999682e+00 1.312205700000000030e+00 -1.111573000000000006e-01 2.675516900000000078e+03
4.759224399999999910e+00 1.319854300000000036e+00 -1.111454000000000053e-01 2.675519600000000082e+03
4.757093199999999911e+00 1.327499599999999891e+00 -1.111330999999999986e-01 2.675522300000000087e+03
4.754950400000000243e+00 1.335141700000000098e+00 -1.111207000000000028e-01 2.675525099999999838e+03
4.752795899999999740e+00 1.342780499999999932e+00 -1.111078999999999956e-01 2.675527799999999843e+03
4.750629700000000177e+00 1.350416000000000061e+00 -1.110948999999999964e-01 2.675530600000000049e+03
4.748451900000000059e+00 1.358048200000000039e+00 -1.110814999999999997e-01 2.675533300000000054e+03
4.746262399999999992e+00 1.365677100000000088e+00 -1.110680000000000001e-01 2.675536000000000058e+03
4.744061199999999978e+00 1.373302599999999929e+00 -1.110541000000000028e-01 2.675538799999999810e+03
4.741848400000000296e+00 1.380924700000000005e+00 -1.110399999999999998e-01 2.675541499999999814e+03
4.739624000000000059e+00 1.388543400000000094e+00 -1.110256000000000021e-01 2.675544300000000021e+03
4.737387899999999874e+00 1.396158800000000033e+00 -1.110108999999999957e-01 2.675547000000000025e+03
4.735140099999999741e+00 1.403770699999999927e+00 -1.109959999999999974e-01 2.675549700000000030e+03
4.732880800000000221e+00 1.411379099999999998e+00 -1.109808000000000044e-01 2.675552499999999782e+03
4.730609799999999865e+00 1.418984100000000081e+00 -1.109653000000000028e-01 2.675555199999999786e+03
4.728327199999999841e+00 1.426585699999999957e+00 -1.109495000000000064e-01 2.675557999999999993e+03
4.726033000000000150e+00 1.434183699999999950e+00 -1.109335000000000043e-01 2.675560699999999997e+03
4.723727199999999904e+00 1.441778199999999899e+00 -1.109171999999999936e-01 2.675563400000000001e+03
4.721409699999999710e+00 1.449369099999999966e+00 -1.109006000000000020e-01 2.675566200000000208e+03
4.719080700000000128e+00 1.456956499999999988e+00 -1.108838000000000046e-01 2.675568900000000212e+03
4.716740099999999991e+00 1.464540299999999906e+00 -1.108665999999999957e-01 2.675571699999999964e+03
