X Y Z year
2.207258400000000176e+00 -4.441486600000000173e+00 2.785133800000000104e+00 2.682840200000000095e+03
2.208672500000000039e+00 -4.437922399999999712e+00 2.788647000000000098e+00 2.682842900000000100e+03
2.210083000000000020e+00 -4.434351099999999768e+00 2.792155600000000071e+00 2.682845600000000104e+03
2.211489900000000119e+00 -4.430772600000000061e+00 2.795659800000000139e+00 2.682848399999999856e+03
2.212893300000000174e+00 -4.427186999999999983e+00 2.799159400000000186e+00 2.682851099999999860e+03
2.214293099999999903e+00 -4.423594200000000143e+00 2.802654599999999885e+00 2.682853799999999865e+03
2.215689400000000031e+00 -4.419994299999999932e+00 2.806145200000000006e+00 2.682856600000000071e+03
2.217082099999999834e+00 -4.416387300000000238e+00 2.809631299999999943e+00 2.682859300000000076e+03
2.218471200000000199e+00 -4.412773200000000173e+00 2.813112900000000138e+00 2.682862099999999828e+03
2.219856699999999794e+00 -4.409151900000000346e+00 2.816589899999999869e+00 2.682864799999999832e+03
2.221238699999999788e+00 -4.405523600000000428e+00 2.820062399999999858e+00 2.682867499999999836e+03
2.222617000000000065e+00 -4.401888099999999859e+00 2.823530400000000107e+00 2.682870300000000043e+03
2.223991799999999852e+00 -4.398245499999999808e+00 2.826993700000000054e+00 2.682873000000000047e+03
2.225363000000000202e+00 -4.394595800000000274e+00 2.830452600000000096e+00 2.682875799999999799e+03
2.226730599999999782e+00 -4.390939000000000370e+00 2.833906799999999837e+00 2.682878499999999804e+03
2.228094599999999925e+00 -4.387275200000000375e+00 2.837356499999999837e+00 2.682881199999999808e+03
2.229455100000000023e+00 -4.383604199999999729e+00 2.840801599999999816e+00 2.682884000000000015e+03
2.230811899999999959e+00 -4.379926099999999600e+00 2.844242100000000217e+00 2.682886700000000019e+03
2.232165100000000013e+00 -4.376241000000000270e+00 2.847678000000000154e+00 2.682889500000000226e+03
2.233514700000000186e+00 -4.372548799999999680e+00 2.851109199999999788e+00 2.682892199999999775e+03
2.234860700000000033e+00 -4.368849499999999608e+00 2.854535900000000126e+00 2.682894899999999780e+03
2.236203000000000163e+00 -4.365143100000000054e+00 2.857957999999999998e+00 2.682897699999999986e+03
2.237541799999999803e+00 -4.361429700000000409e+00 2.861375400000000013e+00 2.682900399999999991e+03
2.238876900000000170e+00 -4.357709200000000394e+00 2.864788200000000007e+00 2.682903200000000197e+03
2.240208400000000211e+00 -4.353981600000000007e+00 2.868196300000000143e+00 2.682905900000000202e+03
2.241536299999999926e+00 -4.350247000000000419e+00 2.871599799999999814e+00 2.682908600000000206e+03
2.242860600000000204e+00 -4.346505299999999572e+00 2.874998699999999907e+00 2.682911399999999958e+03
2.244181199999999876e+00 -4.342756600000000411e+00 2.878392900000000143e+00 2.682914099999999962e+03
2.245498099999999830e+00 -4.339000799999999991e+00 2.881782400000000077e+00 2.682916900000000169e+03
2.246811500000000184e+00 -4.335238000000000369e+00 2.885167200000000154e+00 2.682919600000000173e+03
2.248121199999999931e+00 -4.331468199999999769e+00 2.888547400000000209e+00 2.682922300000000178e+03
2.249427199999999960e+00 -4.327691299999999686e+00 2.891922800000000127e+00 2.682925099999999929e+03
2.250729600000000108e+00 -4.323907400000000401e+00 2.895293600000000023e+00 2.682927799999999934e+03
2.252028300000000094e+00 -4.320116399999999857e+00 2.898659700000000061e+00 2.682930600000000140e+03
2.253323400000000198e+00 -4.316318500000000391e+00 2.902020999999999962e+00 2.682933300000000145e+03
2.254614800000000141e+00 -4.312513499999999667e+00 2.905377600000000005e+00 2.682936000000000149e+03
2.255902499999999922e+00 -4.308701499999999740e+00 2.908729500000000190e+00 2.682938799999999901e+03
