X Y Z velX velY velZ R year
2.416226722771489310e+00 -2.080228849368855659e+00 3.798880035064293281e+00 -6.916244608734075294e-04 6.451597287218849286e-03 4.913784025492532598e-04 4.959535579304942488e+00 2.684112000000000080e+03
2.415532165349069782e+00 -2.073774728477726814e+00 3.799366799863575839e+00 -6.974916805636428288e-04 6.456643241377620773e-03 4.821485162981552219e-04 4.956866484606421430e+00 2.684114999999999782e+03
2.414831736814609719e+00 -2.067315565398857302e+00 3.799844326730536626e+00 -7.033666874894373144e-04 6.461681657262593678e-03 4.729025309771098078e-04 4.954192454018485847e+00 2.684117999999999938e+03
2.414125429373403353e+00 -2.060851367686798330e+00 3.800312599545281333e+00 -7.092494964689502728e-04 6.466712502357707844e-03 4.636404049044150905e-04 4.951513486067313785e+00 2.684121000000000095e+03
2.413413235216256059e+00 -2.054382142928450339e+00 3.800771602146148620e+00 -7.151401216708325485e-04 6.471735744556800923e-03 4.543620962389012183e-04 4.948829579282447710e+00 2.684123000000000047e+03
2.412695146520116740e+00 -2.047907898742487021e+00 3.801221318329571996e+00 -7.210385766948167012e-04 6.476751352369858328e-03 4.450675630037221470e-04 4.946140732196851353e+00 2.684126000000000204e+03
2.411971155448533466e+00 -2.041428642778738478e+00 3.801661731849942605e+00 -7.269448747170328398e-04 6.481759295124321814e-03 4.357567631157132325e-04 4.943446943346867073e+00 2.684128999999999905e+03
2.411241254152027391e+00 -2.034944382717174260e+00 3.802092826419531058e+00 -7.328590287050201161e-04 6.486759543138981635e-03 4.264296544185986089e-04 4.940748211272021351e+00 2.684132000000000062e+03
2.410505434768126953e+00 -2.028455126266905051e+00 3.802514585708444361e+00 -7.387810516975371880e-04 6.491752067844375022e-03 4.170861947177034387e-04 4.938044534514712147e+00 2.684134000000000015e+03
2.409763689421156485e+00 -2.021960881165074220e+00 3.802926993344563744e+00 -7.447109571345724354e-04 6.496736841823939901e-03 4.077263418127072270e-04 4.935335911619717741e+00 2.684137000000000171e+03
2.409016010221656234e+00 -2.015461655175621924e+00 3.803330032913607717e+00 -7.506487592110704489e-04 6.501713838755323986e-03 3.983500535240463124e-04 4.932622341133582999e+00 2.684139999999999873e+03
2.408262389265443559e+00 -2.008957456088372950e+00 3.803723687959108091e+00 -7.565944732186794929e-04 6.506683033242050690e-03 3.889572877094960891e-04 4.929903821603907055e+00 2.684141999999999825e+03
2.407502818632369479e+00 -2.002448291718200934e+00 3.804107941982482810e+00 -7.625481158362254226e-04 6.511644400540731251e-03 3.795480022672540442e-04 4.927180351578592798e+00 2.684144999999999982e+03
2.406737290384823869e+00 -1.995934169904508337e+00 3.804482778443074587e+00 -7.685097053324533699e-04 6.516597916205292898e-03 3.701221551243570086e-04 4.924451929605082157e+00 2.684148000000000138e+03
2.405965796566110981e+00 -1.989415098511183366e+00 3.804848180758143794e+00 -7.744792616549931461e-04 6.521543555683537684e-03 3.606797042109890356e-04 4.921718554229692622e+00 2.684150999999999840e+03
2.405188329198728159e+00 -1.982891085426881972e+00 3.805204132302871578e+00 -7.804568063956401599e-04 6.526481293909387922e-03 3.512206074231475489e-04 4.918980223997044376e+00 2.684152999999999793e+03
2.404404880282831058e+00 -1.976362138565753490e+00 3.805550616410304787e+00 -7.864423626401827920e-04 6.531411104933585246e-03 3.417448225782201109e-04 4.916236937449714794e+00 2.684155999999999949e+03
2.403615441794845431e+00 -1.969828265868445172e+00 3.805887616371242288e+00 -7.924359547263000502e-04 6.536332961628085921e-03 3.322523073682860997e-04 4.913488693128019058e+00 2.684159000000000106e+03
2.402820005686344906e+00 -1.963289475303416909e+00 3.806215115434098184e+00 -7.984376079431250266e-04 6.541246835485461757e-03 3.227430193160209064e-04 4.910735489570039469e+00 2.684161999999999807e+03
2.402018563883276947e+00 -1.956745774868401400e+00 3.806533096804700200e+00 -8.044473482093697763e-04 6.546152696519578519e-03 3.132169157370962367e-04 4.907977325311803085e+00 2.684164000000000215e+03
2.401211108285493445e+00 -1.950197172591801031e+00 3.806841543646091175e+00 -8.104652017630858529e-04 6.551050513259955473e-03 3.036739537111907139e-04 4.905214198887593469e+00 2.684166999999999916e+03
2.400397630766560653e+00 -1.943643676534255960e+00 3.807140439078251948e+00 -8.164911948879281962e-04 6.555940252822537763e-03 2.941140900628307249e-04 4.902446108830393001e+00 2.684170000000000073e+03
2.399578123173824906e+00 -1.937085294789922862e+00 3.807429766177866437e+00 -8.225253536915329332e-04 6.560821881034782990e-03 2.845372813511776698e-04 4.899673053672358947e+00 2.684172999999999774e+03
2.398752577328690183e+00 -1.930522035487723276e+00 3.807709507978035646e+00 -8.285677039416168002e-04 6.565695362592448119e-03 2.749434838677919032e-04 4.896895031945348364e+00 2.684175000000000182e+03
2.397920985027012897e+00 -1.923953906792366331e+00 3.807979647468023199e+00 -8.346182709580892692e-04 6.570560661228371999e-03 2.653326536403272616e-04 4.894112042181422595e+00 2.684177999999999884e+03
2.397083338039573075e+00 -1.917380916905260468e+00 3.808240167592992442e+00 -8.406770795543572032e-04 6.575417739877783239e-03 2.557047464404140803e-04 4.891324082913347304e+00 2.684181000000000040e+03
2.396239628112608155e+00 -1.910803074065174023e+00 3.808491051253758197e+00 -8.467441540187083462e-04 6.580266560829786671e-03 2.460597177939517419e-04 4.888531152675017033e+00 2.684182999999999993e+03
2.395389846968316139e+00 -1.904220386548903576e+00 3.808732281306532741e+00 -8.528195181254494403e-04 6.585107085858964669e-03 2.363975229925751979e-04 4.885733250001867312e+00 2.684186000000000149e+03
2.394533986305372508e+00 -1.897632862671640330e+00 3.808963840562715308e+00 -8.589031951668799980e-04 6.589939276334640453e-03 2.267181171049345752e-04 4.882930373431217497e+00 2.684188999999999851e+03
2.393672037799383201e+00 -1.891040510787398876e+00 3.809185711788666051e+00 -8.649952079978715522e-04 6.594763093307983749e-03 2.170214549874942625e-04 4.880122521502574529e+00 2.684192000000000007e+03
2.392803993103288285e+00 -1.884443339289258557e+00 3.809397877705499980e+00 -8.710955790870283369e-04 6.599578497578669281e-03 2.073074912940665177e-04 4.877309692757869186e+00 2.684193999999999960e+03
2.391929843847739434e+00 -1.877841356609605494e+00 3.809600320988885791e+00 -8.772043305697455398e-04 6.604385449743667598e-03 1.975761804841554871e-04 4.874491885741681685e+00 2.684197000000000116e+03
2.391049581641395694e+00 -1.871234571220330434e+00 3.809793024268856243e+00 -8.833214842998959307e-04 6.609183910231135502e-03 1.878274768299073756e-04 4.871669099001415759e+00 2.684199999999999818e+03
2.390163198071182826e+00 -1.864622991632942206e+00 3.809975970129627854e+00 -8.894470618983071420e-04 6.613973839322246674e-03 1.780613344217097001e-04 4.868841331087432778e+00 2.684202999999999975e+03
2.389270684702500702e+00 -1.858006626398761796e+00 3.810149141109420601e+00 -8.955810847966728331e-04 6.618755197163607093e-03 1.682777071727189176e-04 4.866008580553194740e+00 2.684204999999999927e+03
2.388372033079394274e+00 -1.851385484109027146e+00 3.810312519700276290e+00 -9.017235742766338416e-04 6.623527943772499101e-03 1.584765488222765299e-04 4.863170845955351318e+00 2.684208000000000084e+03
2.387467234724695686e+00 -1.844759573394995522e+00 3.810466088347889801e+00 -9.078745515038370937e-04 6.628292039036889211e-03 1.486578129384482846e-04 4.860328125853823344e+00 2.684210999999999785e+03
2.386556281140110425e+00 -1.838128902928147568e+00 3.810609829451442110e+00 -9.140340375570955465e-04 6.633047442711653349e-03 1.388214529198655844e-04 4.857480418811906731e+00 2.684213999999999942e+03
2.385639163806299923e+00 -1.831493481420229053e+00 3.810743725363430201e+00 -9.202020534533099849e-04 6.637794114412310167e-03 1.289674219968508888e-04 4.854627723396302663e+00 2.684215999999999894e+03
2.384715874182932627e+00 -1.824853317623484239e+00 3.810867758389492543e+00 -9.263786201683266858e-04 6.642532013607062996e-03 1.190956732322213246e-04 4.851770038177207311e+00 2.684219000000000051e+03
2.383786403708707979e+00 -1.818208420330744923e+00 3.810981910788249216e+00 -9.325637586543860259e-04 6.647261099607941481e-03 1.092061595215302466e-04 4.848907361728348242e+00 2.684222000000000207e+03
2.382850743801385285e+00 -1.811558798375617396e+00 3.811086164771131379e+00 -9.387574898545819439e-04 6.651981331561463567e-03 9.929883359310756955e-05 4.846039692627048368e+00 2.684224000000000160e+03
2.381908885857775715e+00 -1.804904460632647867e+00 3.811180502502216516e+00 -9.449598347147447966e-04 6.656692668439216816e-03 8.937364800782124363e-05 4.843167029454271244e+00 2.684226999999999862e+03
2.380960821253748971e+00 -1.798245416017498988e+00 3.811264906098061456e+00 -9.511708141932335471e-04 6.661395069028579370e-03 7.943055515865831903e-05 4.840289370794677914e+00 2.684230000000000018e+03
2.380006541344195092e+00 -1.791581673487150583e+00 3.811339357627522961e+00 -9.573904492688685474e-04 6.666088491923752302e-03 6.946950727021060021e-05 4.837406715236662436e+00 2.684233000000000175e+03
2.379046037463009799e+00 -1.784913242040088166e+00 3.811403839111607184e+00 -9.636187609474213553e-04 6.670772895517189209e-03 5.949045639796644511e-05 4.834519061372414050e+00 2.684235000000000127e+03
2.378079300923083839e+00 -1.778240130716483458e+00 3.811458332523289805e+00 -9.698557702669800178e-04 6.675448237991453426e-03 4.949335442762988618e-05 4.831626407797959821e+00 2.684237999999999829e+03
2.377106323016239919e+00 -1.771562348598481273e+00 3.811502819787337515e+00 -9.761014983021124069e-04 6.680114477311566157e-03 3.947815307436038784e-05 4.828728753113223249e+00 2.684240999999999985e+03
2.376127095013204293e+00 -1.764879904810331857e+00 3.811537282780159241e+00 -9.823559661674492911e-04 6.684771571217811709e-03 2.944480388189073955e-05 4.825826095922062464e+00 2.684244000000000142e+03
