a e i Om w M year jd number node
3.841265715152785809e+00 4.874813906654076878e-01 6.129622226690334941e+01 2.784649070754043692e+02 2.080263890404240783e+02 -1.742155420662211611e+02 2.675121000000000095e+03 2.698127654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841264957543065517e+00 4.874817948681393065e-01 6.129627574287455616e+01 2.784649427537801216e+02 2.080262623213635038e+02 -1.740843441481604827e+02 2.675123999999999796e+03 2.698128654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841264191707504327e+00 4.874822044458482773e-01 6.129632953861259637e+01 2.784649787198525814e+02 2.080261358201358632e+02 -1.739531469424084662e+02 2.675126000000000204e+03 2.698129654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841263417442219552e+00 4.874826194557986825e-01 6.129638365034897873e+01 2.784650149720652621e+02 2.080260095472074511e+02 -1.738219504699573008e+02 2.675128999999999905e+03 2.698130654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841262634539150511e+00 4.874830399563842009e-01 6.129643807445648207e+01 2.784650515089424516e+02 2.080258835129631052e+02 -1.736907547516138948e+02 2.675132000000000062e+03 2.698131654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841261842784442937e+00 4.874834660077166926e-01 6.129649280745962159e+01 2.784650883290975116e+02 2.080257577277450878e+02 -1.735595598080987259e+02 2.675135000000000218e+03 2.698132654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841261041956697486e+00 4.874838976722590256e-01 6.129654784604409912e+01 2.784651254312398123e+02 2.080256322018973947e+02 -1.734283656601561177e+02 2.675137000000000171e+03 2.698133654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841260231825062821e+00 4.874843350155063648e-01 6.129660318706485356e+01 2.784651628141810420e+02 2.080255069458164314e+02 -1.732971723286780730e+02 2.675139999999999873e+03 2.698134654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841259412147154606e+00 4.874847781067231378e-01 6.129665882755202233e+01 2.784652004768402094e+02 2.080253819700095619e+02 -1.731659798348444212e+02 2.675143000000000029e+03 2.698135654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841258582666777333e+00 4.874852270197390092e-01 6.129671476471399671e+01 2.784652384182467131e+02 2.080252572851628656e+02 -1.730347882002821791e+02 2.675146000000000186e+03 2.698136654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841257743111442746e+00 4.874856818338078046e-01 6.129677099593659761e+01 2.784652766375405690e+02 2.080251329022198377e+02 -1.729035974472471651e+02 2.675148000000000138e+03 2.698137654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
