distance year jd planet number
3.933136999999999883e-01 1.279020999999999958e+03 2.188220099500000011e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.979615000000000236e-01 1.279016000000000076e+03 2.188218200999999885e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.673945000000000127e-01 1.269395999999999958e+03 2.184704928799999878e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.008151000000000019e-01 1.269390000000000100e+03 2.184702852299999911e+06 1.000000000000000000e+00 2.000000000000000000e+00
2.399390999999999885e-01 1.269384999999999991e+03 2.184700859000000171e+06 1.000000000000000000e+00 2.000000000000000000e+00
1.913751999999999953e-01 1.269378999999999905e+03 2.184698929700000212e+06 1.000000000000000000e+00 2.000000000000000000e+00
1.667093000000000047e-01 1.269374000000000024e+03 2.184697053299999796e+06 1.000000000000000000e+00 2.000000000000000000e+00
1.761606000000000005e-01 1.269368999999999915e+03 2.184695159200000111e+06 1.000000000000000000e+00 2.000000000000000000e+00
2.126609999999999889e-01 1.269364000000000033e+03 2.184693367300000042e+06 1.000000000000000000e+00 2.000000000000000000e+00
2.653280000000000083e-01 1.269358999999999924e+03 2.184691516100000124e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.240490999999999788e-01 1.269354000000000042e+03 2.184689652100000065e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.846351000000000075e-01 1.269348999999999933e+03 2.184687743400000036e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.917965999999999949e-01 1.254853000000000065e+03 2.179392699500000104e+06 2.000000000000000000e+00 2.000000000000000000e+00
3.398643000000000081e-01 1.254846000000000004e+03 2.179390455800000113e+06 2.000000000000000000e+00 2.000000000000000000e+00
2.972513999999999990e-01 1.254840999999999894e+03 2.179388334900000133e+06 2.000000000000000000e+00 2.000000000000000000e+00
2.673690000000000233e-01 1.254835000000000036e+03 2.179386318899999838e+06 2.000000000000000000e+00 2.000000000000000000e+00
2.534658000000000189e-01 1.254829999999999927e+03 2.179384377900000196e+06 2.000000000000000000e+00 2.000000000000000000e+00
2.571499999999999897e-01 1.254825000000000045e+03 2.179382505499999970e+06 2.000000000000000000e+00 2.000000000000000000e+00
2.767475999999999825e-01 1.254819999999999936e+03 2.179380675400000066e+06 2.000000000000000000e+00 2.000000000000000000e+00
3.085281999999999747e-01 1.254815000000000055e+03 2.179378870199999772e+06 2.000000000000000000e+00 2.000000000000000000e+00
3.485607000000000011e-01 1.254809999999999945e+03 2.179377075199999847e+06 2.000000000000000000e+00 2.000000000000000000e+00
3.938445999999999891e-01 1.254805000000000064e+03 2.179375274499999825e+06 2.000000000000000000e+00 2.000000000000000000e+00
3.387949000000000099e-01 1.240251999999999953e+03 2.174059689699999988e+06 1.000000000000000000e+00 2.000000000000000000e+00
2.729774999999999840e-01 1.240246000000000095e+03 2.174057648599999957e+06 1.000000000000000000e+00 2.000000000000000000e+00
2.143345000000000111e-01 1.240240999999999985e+03 2.174055688899999950e+06 1.000000000000000000e+00 2.000000000000000000e+00
1.711166000000000076e-01 1.240236000000000104e+03 2.174053792599999812e+06 1.000000000000000000e+00 2.000000000000000000e+00
1.564118999999999926e-01 1.240230999999999995e+03 2.174051937599999830e+06 1.000000000000000000e+00 2.000000000000000000e+00
1.740536000000000028e-01 1.240226000000000113e+03 2.174050245199999772e+06 1.000000000000000000e+00 2.000000000000000000e+00
2.168541999999999970e-01 1.240221000000000004e+03 2.174048434799999930e+06 1.000000000000000000e+00 2.000000000000000000e+00
2.710615000000000108e-01 1.240215999999999894e+03 2.174046633499999996e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.300618000000000163e-01 1.240211000000000013e+03 2.174044795100000221e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.897460999999999842e-01 1.240205999999999904e+03 2.174042916799999774e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.946904999999999997e-01 1.211118999999999915e+03 2.163418810899999924e+06 1.000000000000000000e+00 2.000000000000000000e+00
