X Y Z VelX VelY VelZ M year r
-5.165478130873982998e+00 1.616949273655155839e+00 8.597175759538432105e-02 -2.353420611536127457e-03 -6.850190584437556435e-03 6.415815317406124881e-05 1.438602440818486627e+02 2.701702131512760843e+03 5.413324340663079326e+00
-5.195379219153259065e+00 1.527269382368636963e+00 8.679562492678255525e-02 -2.227352560273471865e-03 -6.888448855413125023e-03 6.205596831421711335e-05 1.449440069729149911e+02 2.701735081512760644e+03 5.415907170330437559e+00
-5.223656846503289763e+00 1.437019533832023299e+00 8.759267558464348125e-02 -2.100636239598244800e-03 -6.924500815763640765e-03 5.993505864937543725e-05 1.460287902997971230e+02 2.701768031512760444e+03 5.418421215395825996e+00
-5.250299009781132398e+00 1.346230024790856072e+00 8.836259763029032099e-02 -1.973310248529247784e-03 -6.958335483712737787e-03 5.779607022916575837e-05 1.471145667882848898e+02 2.701800981512760245e+03 5.420865513957812354e+00
-5.275294305346105439e+00 1.254931440337871296e+00 8.910508877124956317e-02 -1.845413371796809660e-03 -6.989942552892789568e-03 5.563965461018201947e-05 1.482013087453602793e+02 2.701833931512760046e+03 5.423239128492349792e+00
-5.298631937212441301e+00 1.163154640911006288e+00 8.981985654817030429e-02 -1.716984568028526083e-03 -7.019312395484345567e-03 5.346646865751102573e-05 1.492889880694927740e+02 2.701866881512759846e+03 5.425541146406579252e+00
-5.320301724881257854e+00 1.070930749024388451e+00 9.050661851695480931e-02 -1.588062957882159770e-03 -7.046436065148837385e-03 5.127717434464639645e-05 1.503775762612233962e+02 2.701899831512759647e+03 5.427770680581097906e+00
-5.340294110841893094e+00 9.782911357411959719e-01 9.116510242589609403e-02 -1.458687812129048000e-03 -7.071305299753731337e-03 4.907243855184388815e-05 1.514670444340348183e+02 2.701932781512759448e+03 5.429926869900064901e+00
-5.358600167732948449e+00 8.852674068980735944e-01 9.179504638761838697e-02 -1.328898539691864998e-03 -7.093912523889253120e-03 4.685293286298364236e-05 1.525573633254991250e+02 2.701965731512759248e+03 5.432008879768600806e+00
-5.375211605153657146e+00 7.918913890909642372e-01 9.239619904562368369e-02 -1.198734675640310754e-03 -7.114250851175934337e-03 4.461933336099962652e-05 1.536485033086986220e+02 2.701998681512759049e+03 5.434015902616872395e+00
-5.390120776116596346e+00 6.981951154325852782e-01 9.296831973525133963e-02 -1.068235869148277499e-03 -7.132314086362259199e-03 4.237232042193711859e-05 1.547404344039121895e+02 2.702031631512758850e+03 5.435947158390347589e+00
