X Y Z velX velY velZ M year r
-1.502418248961526981e+00 -5.113308266093373966e+00 4.339629202142808451e-02 7.142950899595194685e-03 -1.774313861870916451e-03 -1.204043896935361424e-04 2.428320241578723824e+02 2.418191093841212933e+03 5.329640255877750477e+00
-1.411909817165841963e+00 -5.134933467502180271e+00 4.186782308457017571e-02 7.178990050151826813e-03 -1.647580535943307146e-03 -1.214587875640443093e-04 2.438812548125495425e+02 2.419902932128290558e+03 5.325672160590913862e+00
-1.321095934838372399e+00 -5.154923072405424911e+00 4.032856827600560939e-02 7.212812207040608485e-03 -1.520237318650185035e-03 -1.224760098671621251e-04 2.449289159969250704e+02 2.421614770415368639e+03 5.321668229501296032e+00
-1.230007025788626862e+00 -5.173274221378544979e+00 3.877905590482708803e-02 7.244407067704915909e-03 -1.392322999969113463e-03 -1.234557467471221893e-04 2.459749950653046824e+02 2.423326608702446720e+03 5.317629854384944288e+00
-1.138673476412527030e+00 -5.189984645500546279e+00 3.721981556380284106e-02 7.273765008044110261e-03 -1.263876543840749059e-03 -1.243976997665796104e-04 2.470194799514858914e+02 2.425038446989524346e+03 5.313558433017126603e+00
-1.047125623487738189e+00 -5.205052662412130715e+00 3.565137790068118734e-02 7.300877085345173524e-03 -1.134937076299889509e-03 -1.253015819975198915e-04 2.480623591695785422e+02 2.426750285276601971e+03 5.309455368547174814e+00
-9.553937421659256524e-01 -5.218477172105844275e+00 3.407427439209304715e-02 7.325735041006723076e-03 -1.005543873557401130e-03 -1.261671181086594629e-04 2.491036218145375187e+02 2.428462123563680052e+03 5.305322068879038788e+00
-8.635080341677057181e-01 -5.230257652456929307e+00 3.248903712018295920e-02 7.348331303054657371e-03 -8.757363500363107064e-04 -1.269940444493141947e-04 2.501432575624135950e+02 2.430173961850758133e+03 5.301159946057979688e+00
-7.714986161859708202e-01 -5.240394154503555058e+00 3.089619855209748550e-02 7.368658988448659880e-03 -7.455540463657706497e-04 -1.277821091297100199e-04 2.511812566703269169e+02 2.431885800137835759e+03 5.296970415663737164e+00
-6.793955085028696717e-01 -5.248887297485238967e+00 2.929629132245352777e-02 7.386711905178843136e-03 -6.150366173365579697e-04 -1.285310720977112442e-04 2.522176099761685464e+02 2.433597638424913384e+03 5.292754896210575488e+00
-5.872286238254587065e-01 -5.255738263648346731e+00 2.768984801890430475e-02 7.402484554151888413e-03 -4.842238198219171556e-04 -1.292407052119424473e-04 2.532523088980345278e+02 2.435309476711991465e+03 5.288514808554532820e+00
-4.950277563444053786e-01 -5.260948792827634612e+00 2.607740097091001616e-02 7.415972130866123335e-03 -3.531555006671976038e-04 -1.299107923112825086e-04 2.542853454333989305e+02 2.437021314999069546e+03 5.284251575308211990e+00
-4.028225710200039056e-01 -5.264521176812864134e+00 2.445948204181830343e-02 7.427170526875028281e-03 -2.218715845520735793e-04 -1.305411292807099125e-04 2.553167121580303842e+02 2.438733153286147171e+03 5.279966620263429888e+00
-3.106425930994292095e-01 -5.266458253509505916e+00 2.283662242435351500e-02 7.436076331038690181e-03 -9.041206182918386366e-05 -1.311315241134774058e-04 2.563464022246583340e+02 2.440444991573224797e+03 5.275661367822017667e+00
-2.185171978685208627e-01 -5.266763400902655157e+00 2.120935243960296590e-02 7.442686830562894942e-03 4.118302365736022531e-05 -1.316817969695996643e-04 2.573744093613952941e+02 2.442156829860302878e+03 5.271337242435065740e+00
-1.264756006413137457e-01 -5.265440530833222610e+00 1.957820133958703204e-02 7.447000011825448233e-03 1.728735867697428843e-04 -1.321917802306341245e-04 2.584007278699195922e+02 2.443868668147380959e+03 5.266995668050859614e+00
-3.454684699010667631e-02 -5.262494082595494227e+00 1.794369711349222754e-02 7.449014560989552017e-03 3.046195132867512696e-04 -1.326613185507392358e-04 2.594253526234259084e+02 2.445580506434458584e+03 5.262638067571780986e+00
5.724019678148340590e-02 -5.257929016365148200e+00 1.630636629764055726e-02 7.448729864404020871e-03 4.363806721228634345e-04 -1.330902689039940303e-04 2.604482790643494923e+02 2.447292344721536210e+03 5.258265862320389950e+00
1.488568529206261704e-01 -5.251750806466749744e+00 1.466673378925761710e-02 7.446146008790189771e-03 5.681169275527258363e-04 -1.334785006279656219e-04 2.614695032018694292e+02 2.449004183008614291e+03 5.253880471514900563e+00
2.402746412604315207e-01 -5.243965434489761712e+00 1.302532266410644235e-02 7.441263781215507259e-03 6.997881514367904239e-04 -1.338258954635100780e-04 2.624890216091980051e+02 2.450716021295692371e+03 5.249483311754284287e+00
3.314652880069640650e-01 -5.234579382261989267e+00 1.138265399803758612e-02 7.434084668853788852e-03 8.313542354447197875e-04 -1.341323475907951182e-04 2.635068314206625359e+02 2.452427859582769997e+03 5.245075796513134492e+00
4.224007342769893203e-01 -5.223599624689367005e+00 9.739246692504704636e-03 7.424610858532209624e-03 9.627751032728038526e-04 -1.343977636615341224e-04 2.645229303285851756e+02 2.454139697869847623e+03 5.240659335646496331e+00
5.130531443856377605e-01 -5.211033622470908178e+00 8.095617304088956537e-03 7.412845236065162581e-03 1.094010722851625639e-03 -1.346220628274208235e-04 2.655373165799675235e+02 2.455851536156925704e+03 5.236235334904820959e+00
